"","date","fav_count","rep_count","ret_count","user_count","tweet_count"
"280",2014-10-16,0,1,2,32,15
"281",2014-10-17,0,0,7,29,17
"282",2014-10-18,0,1,4,23,10
"283",2014-10-19,1,0,1,7,6
"284",2014-10-20,0,1,4,14,9
"285",2014-10-21,0,0,0,6,4
"286",2014-10-22,0,0,0,6,5
"287",2014-10-23,0,1,0,5,4
"288",2014-10-24,0,1,0,7,3
"289",2014-10-25,0,0,2,5,4
"290",2014-10-26,0,0,0,3,3
"291",2014-10-27,0,1,2,7,4
"292",2014-10-28,0,0,6,20,9
"293",2014-10-29,0,1,2,9,5
"294",2014-10-30,0,3,2,16,7
"295",2014-10-31,2,1,5,28,14
"296",2014-11-01,2,1,36,42,15
"297",2014-11-02,0,0,2,10,8
"298",2014-11-03,7,1,34,29,14
"299",2014-11-04,7,6,21,120,84
"300",2014-11-05,8,6,26,51,36
"301",2014-11-06,8,15,256,473,225
"302",2014-11-07,38,22,177,179,102
"303",2014-11-08,2,3,20,45,30
"304",2014-11-09,0,1,9,34,19
"305",2014-11-10,2,5,60,43,25
"306",2014-11-11,1,2,13,32,14
"307",2014-11-12,0,1,0,16,11
"308",2014-11-13,0,1,2,12,9
"309",2014-11-14,1,1,11,29,14
"310",2014-11-15,4,3,47,47,23
"311",2014-11-16,1,4,4,22,15
"312",2014-11-17,1,2,1,15,7
"313",2014-11-18,0,1,5,17,11
"314",2014-11-19,2,5,22,42,20
"315",2014-11-20,0,0,1,6,4
"316",2014-11-21,2,4,70,20,13
"317",2014-11-22,0,1,6,11,7
"318",2014-11-23,0,0,1,8,6
"319",2014-11-24,13,7,63,132,59
"320",2014-11-25,0,0,11,32,16
"321",2014-11-26,4,4,19,40,19
"322",2014-11-27,0,0,12,16,11
"323",2014-11-28,0,1,7,9,7
"324",2014-11-29,1,1,7,24,13
"325",2014-11-30,1,2,11,18,11
"326",2014-12-01,0,1,3,16,7
"327",2014-12-02,0,0,1,26,18
"328",2014-12-03,0,0,2,13,10
"329",2014-12-04,1,0,6,16,8
"330",2014-12-05,0,0,1,12,7
"331",2014-12-06,0,0,10,16,5
"332",2014-12-07,1,0,11,11,5
"333",2014-12-08,0,0,0,5,2
"334",2014-12-09,6,7,101,67,36
"335",2014-12-10,0,2,23,57,26
"336",2014-12-11,1,3,19,17,12
"337",2014-12-12,1,0,2,37,27
"338",2014-12-13,0,0,0,13,13
"339",2014-12-14,0,0,0,2,2
"340",2014-12-15,0,0,0,3,1
"341",2014-12-16,3,1,6,22,10
"342",2014-12-17,6,2,118,42,20
"343",2014-12-18,1,0,0,2,2
"344",2014-12-19,0,0,0,5,3
"345",2014-12-20,0,0,6,8,4
"346",2014-12-22,0,0,0,2,2
"347",2014-12-23,0,0,0,1,1
"348",2014-12-24,0,0,3,9,6
"349",2014-12-25,0,1,5,13,7
"350",2014-12-26,0,0,8,8,3
"351",2014-12-27,0,0,2,4,2
"352",2014-12-28,44,17,228,496,223
"353",2014-12-29,58,48,489,730,308
"354",2014-12-30,0,0,1,31,24
"355",2014-12-31,1,0,4,10,5
"356",2015-01-01,1,1,1,12,8
"357",2015-01-02,0,0,1,13,6
"358",2015-01-03,0,1,0,8,4
"359",2015-01-04,0,1,0,8,4
"360",2015-01-06,0,0,0,1,1
"361",2015-01-07,0,1,5,6,3
"362",2015-01-08,0,0,1,7,3
"363",2015-01-09,0,0,10,1,1
"364",2015-01-10,0,1,11,6,4
