periode,user,n
3_Bureaucratization,@JogjaOraDidol,10
3_Bureaucratization,@Kometdiputar_,10
3_Bureaucratization,@bayuagni12,10
3_Bureaucratization,@kinalJKT48,10
3_Bureaucratization,@mockingbird_avl,10
3_Bureaucratization,@outSIDers_YK,10
3_Bureaucratization,@satria_pote,10
4_Decline,@jokowi,10
4_Decline,@killthedj,10
1_Emergence,@EndankSoekamti_,9
1_Emergence,@GagatJagaddhita,9
1_Emergence,@Megelenicz,9
1_Emergence,@RIXSET_NO,9
1_Emergence,@SBYudhoyono,9
1_Emergence,@W2K_ERWE,9
1_Emergence,@_rizkyprasetyaa,9
1_Emergence,@anang_batas,9
1_Emergence,@feby_angelina,9
1_Emergence,@infosenijogja,9
1_Emergence,@iyzulyuliant,9
1_Emergence,@noelNDL,9
1_Emergence,@raficandle,9
1_Emergence,@toncemarince,9
1_Emergence,@yoezznart,9
1_Emergence,@yohang88,9
2_Coalescence,@Bayupradhita,9
2_Coalescence,@DarulAzis,9
2_Coalescence,@ErrorNamed,9
2_Coalescence,@KAKATOBILL,9
2_Coalescence,@KritikJogja,9
2_Coalescence,@SBYudhoyono,9
2_Coalescence,@ansyahvalee,9
2_Coalescence,@arssetiawan,9
2_Coalescence,@ayu_moelyati,9
2_Coalescence,@endrufkusuma,9
2_Coalescence,@fransiskussbayu,9
2_Coalescence,@gisetra,9
2_Coalescence,@jogjaonlen,9
2_Coalescence,@tribunjogja,9
3_Bureaucratization,@Elvan1976,9
3_Bureaucratization,@Farit_Sinatra,9
3_Bureaucratization,@HeruuuSA,9
3_Bureaucratization,@Ivulpull,9
3_Bureaucratization,@KASKUS,9
3_Bureaucratization,@N_ShaniJKT48,9
3_Bureaucratization,@Naomi_JKT48,9
3_Bureaucratization,@TrahLuput,9
3_Bureaucratization,@kokomin1878,9
3_Bureaucratization,@semestakeren,9
3_Bureaucratization,@sendyJKT48,9
3_Bureaucratization,@uzzx_sekotjaFaj,9
4_Decline,@ErrorNamed,9
4_Decline,@Metro_TV,9
4_Decline,@SriPurnomoSP,9
4_Decline,@simponii,9
1_Emergence,@AfifBayuKusuma,8
1_Emergence,@BiliSutirta,8
1_Emergence,@HVNVN9,8
1_Emergence,@HastingTop,8
1_Emergence,@KinanthiPita,8
1_Emergence,@Rafyoong,8
1_Emergence,@Ramoness13,8
