"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"579","RT @AnonArmy777: Wahai warga jatim dapil 1 surabaya

Ini orang yg menyuruh polisi menembak ditempat siapa saja yg membawa bendera tauhid. M<U+2026>",FALSE,0,NA,2018-10-29 22:04:26,FALSE,NA,"1057030425443352576",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","hutomo18",431,TRUE,FALSE,NA,NA
"580","RT @romy8890: Si biang kerok @permadiaktivis #TangkapPermadiArya perusak NKRI #BubarkanBanser https://t.co/R2PbimpwTD",FALSE,0,NA,2018-10-29 22:03:45,FALSE,NA,"1057030252155662336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PadiOyan",248,TRUE,FALSE,NA,NA
"581","RT @AnonArmy777: Wahai warga jatim dapil 1 surabaya

Ini orang yg menyuruh polisi menembak ditempat siapa saja yg membawa bendera tauhid. M<U+2026>",FALSE,0,NA,2018-10-29 22:01:37,FALSE,NA,"1057029715209252864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dedi_blueheaven",431,TRUE,FALSE,NA,NA
"582","#KibarkanArRayah #BubarkanBanser #KibarkanArRayah #BubarkanBanser #KibarkanArRayah #BubarkanBanser #KibarkanArRayah<U+2026> https://t.co/kD2h6dUaZI",FALSE,0,NA,2018-10-29 22:00:09,TRUE,NA,"1057029344739110913",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","Ababil212",0,FALSE,FALSE,NA,NA
"583","RT @AnonArmy777: Wahai warga jatim dapil 1 surabaya

Ini orang yg menyuruh polisi menembak ditempat siapa saja yg membawa bendera tauhid. M<U+2026>",FALSE,0,NA,2018-10-29 21:57:31,FALSE,NA,"1057028683393728512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kangdarat",431,TRUE,FALSE,NA,NA
"584","RT @khibar_p: Prabowo Bersama Umat &amp; Ulama'!!!
#BubarkanBanser
#2019GantiPresiden
#2019PrabowoPresiden
#2019TetapAntiPKI https://t.co/dFtVA<U+2026>",FALSE,0,NA,2018-10-29 21:54:02,FALSE,NA,"1057027806649929729",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ojik_sasuke",14,TRUE,FALSE,NA,NA
"585","RT @AnonArmy777: Wahai warga jatim dapil 1 surabaya

Ini orang yg menyuruh polisi menembak ditempat siapa saja yg membawa bendera tauhid. M<U+2026>",FALSE,0,NA,2018-10-29 21:52:38,FALSE,NA,"1057027453472755712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","arhcaf15",431,TRUE,FALSE,NA,NA
"586","RT @AnonArmy777: Wahai warga jatim dapil 1 surabaya

Ini orang yg menyuruh polisi menembak ditempat siapa saja yg membawa bendera tauhid. M<U+2026>",FALSE,0,NA,2018-10-29 21:48:44,FALSE,NA,"1057026474891333632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","keefeand",431,TRUE,FALSE,NA,NA
"587","RT @PanglimaHansip: bagi yang membela banser..pencet LIKE
bagi yang membela bendera Tauhid pencet RT #BubarkanBanser https://t.co/zdYc4O5PpG",FALSE,0,NA,2018-10-29 21:46:33,FALSE,NA,"1057025924015616000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DRaj71074546",639,TRUE,FALSE,NA,NA
"588","RT @AnonArmy777: Wahai warga jatim dapil 1 surabaya

Ini orang yg menyuruh polisi menembak ditempat siapa saja yg membawa bendera tauhid. M<U+2026>",FALSE,0,NA,2018-10-29 21:45:26,FALSE,NA,"1057025640786886656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PrasojoToto",431,TRUE,FALSE,NA,NA
